Date/Time,Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 05/01  00:05:00,3831.5974015912136 
 05/01  00:10:00,3831.7063631851817 
 05/01  00:15:00,3831.7063631851817 
 05/01  00:20:00,3831.7063631851817 
 05/01  00:25:00,3831.7063631851817 
 05/01  00:30:00,3831.7063631851817 
 05/01  00:35:00,3831.7063631851817 
 05/01  00:40:00,3831.7063631851817 
 05/01  00:45:00,3831.7063631851817 
 05/01  00:50:00,3831.7063631851817 
 05/01  00:55:00,3831.7063631851817 
 05/01  01:00:00,3831.7063631851817 
 05/01  01:05:00,3818.928763863356 
 05/01  01:10:00,3818.928763863356 
 05/01  01:15:00,3818.928763863356 
 05/01  01:20:00,3818.928763863356 
 05/01  01:25:00,5320.721998310201 
 05/01  01:30:00,5320.538239369521 
 05/01  01:35:00,3818.928763863356 
 05/01  01:40:00,3818.928763863356 
 05/01  01:45:00,3818.928763863356 
 05/01  01:50:00,3818.928763863356 
 05/01  01:55:00,3818.928763863356 
 05/01  02:00:00,3818.928763863356 
 05/01  02:05:00,3812.801810918286 
 05/01  02:10:00,3812.801810918286 
 05/01  02:15:00,3812.801810918286 
 05/01  02:20:00,3812.801810918286 
 05/01  02:25:00,3812.801810918286 
 05/01  02:30:00,3812.801810918286 
 05/01  02:35:00,3812.801810918286 
 05/01  02:40:00,3812.801810918286 
 05/01  02:45:00,3812.801810918286 
 05/01  02:50:00,3812.801810918286 
 05/01  02:55:00,3812.801810918286 
 05/01  03:00:00,3812.801810918286 
 05/01  03:05:00,3812.8427317406028 
 05/01  03:10:00,3812.8870872091326 
 05/01  03:15:00,3812.8870872091326 
 05/01  03:20:00,3812.8870872091326 
 05/01  03:25:00,3812.8870872091326 
 05/01  03:30:00,3812.8870872091326 
 05/01  03:35:00,3812.8870872091326 
 05/01  03:40:00,3812.8870872091326 
 05/01  03:45:00,3812.8870872091326 
 05/01  03:50:00,3812.8870872091326 
 05/01  03:55:00,3812.8870872091326 
 05/01  04:00:00,3812.8870872091326 
 05/01  04:05:00,3845.3812110581927 
 05/01  04:10:00,3845.4701862784756 
 05/01  04:15:00,3845.4701862784756 
 05/01  04:20:00,3845.4701862784756 
 05/01  04:25:00,3845.4701862784756 
 05/01  04:30:00,3845.4701862784756 
 05/01  04:35:00,3845.4701862784756 
 05/01  04:40:00,3845.4701862784756 
 05/01  04:45:00,3845.4701862784756 
 05/01  04:50:00,3845.4701862784756 
 05/01  04:55:00,3845.4701862784756 
 05/01  05:00:00,3845.4701862784756 
 05/01  05:05:00,3933.0009709016969 
 05/01  05:10:00,3933.0174426844525 
 05/01  05:15:00,3933.017442684466 
 05/01  05:20:00,3933.017442684468 
 05/01  05:25:00,3933.017442684466 
 05/01  05:30:00,3933.017442684466 
 05/01  05:35:00,3933.017442684466 
 05/01  05:40:00,3933.017442684466 
 05/01  05:45:00,3933.017442684466 
 05/01  05:50:00,3933.017442684466 
 05/01  05:55:00,3933.017442684466 
 05/01  06:00:00,3933.017442684466 
 05/01  06:05:00,4043.898177446895 
 05/01  06:10:00,4043.8776398177099 
 05/01  06:15:00,4043.8776398177099 
 05/01  06:20:00,4043.8776398177099 
 05/01  06:25:00,4043.8776398177099 
 05/01  06:30:00,4043.8776398177099 
 05/01  06:35:00,4043.8776398177099 
 05/01  06:40:00,4043.8776398177099 
 05/01  06:45:00,4043.8776398177099 
 05/01  06:50:00,4043.8776398177099 
 05/01  06:55:00,4043.8776398177099 
 05/01  07:00:00,4043.8776398177099 
 05/01  07:05:00,4055.1729486401675 
 05/01  07:10:00,4055.0265013925697 
 05/01  07:15:00,4055.0265013925725 
