BuildingID,IDF Filepath,Weather Filepath,Completed Simulation FolderPath,Simulation Status
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Buffalo_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Denver_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_ElPaso_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Fairbanks_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_GreatFalls_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Honolulu_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_InternationalFalls_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_NewYork_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_PortAngeles_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Rochester_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_SanDiego_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Seattle_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tampa_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_Hospital_STD2019_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tucson_Hospital,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Albuquerque_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Atlanta_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Buffalo_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Denver_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_ElPaso_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Fairbanks_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_GreatFalls_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Honolulu_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_InternationalFalls_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_NewYork_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_PortAngeles_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Rochester_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_SanDiego_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Seattle_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tampa_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelLarge_STD2019_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tucson_HotelLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Albuquerque_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Atlanta_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Buffalo_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Denver_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_ElPaso_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Fairbanks_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_GreatFalls_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Honolulu_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_InternationalFalls_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_NewYork_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_PortAngeles_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Rochester_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_SanDiego_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Seattle_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tampa_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_HotelSmall_STD2019_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tucson_HotelSmall,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Albuquerque_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Atlanta_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Buffalo_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Denver_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_ElPaso_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Fairbanks_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_GreatFalls_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Honolulu_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_InternationalFalls_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_NewYork_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_PortAngeles.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_PortAngeles-William.R.Fairchild.Intl.AP.727885_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_PortAngeles_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Rochester.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_Rochester.Intl.AP.726440_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Rochester_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_SanDiego.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CA_SanDiego-Brown.Field.Muni.AP.722904_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_SanDiego_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Seattle.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Seattle_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Tampa.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_FL_Tampa-MacDill.AFB.747880_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tampa_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeLarge_STD2019_Tucson.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AZ_Tucson-Davis-Monthan.AFB.722745_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Tucson_OfficeLarge,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Albuquerque.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NM_Albuquerque.Intl.Sunport.723650_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Albuquerque_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Atlanta.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_GA_Atlanta-Hartsfield.Jackson.Intl.AP.722190_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Atlanta_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Buffalo.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_Buffalo.Niagara.Intl.AP.725280_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Buffalo_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Denver.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_CO_Denver-Aurora-Buckley.AFB.724695_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Denver_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_ElPaso.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_TX_ElPaso.Intl.AP.722700_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_ElPaso_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Fairbanks.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Fairbanks_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_GreatFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MT_GreatFalls.Intl.AP.727750_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_GreatFalls_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_Honolulu.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_HI_Honolulu.Intl.AP.911820_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_Honolulu_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_InternationalFalls.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_MN_InternationalFalls.Intl.AP.727470_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_InternationalFalls_OfficeMedium,Not Started
NA,D:\Building_Modeling_Code\Data\Commercial_Prototypes\ASHRAE\90_1_2019\ASHRAE901_OfficeMedium_STD2019_NewYork.idf,D:\Building_Modeling_Code\Data\TMY3_WeatherFiles_Commercial\USA_NY_NewYork-John.F.Kennedy.Intl.AP.744860_TMY3.epw,D:\EP_DataManagement_Application\Generated_Data\ASHRAE_2019_NewYork_OfficeMedium,Not Started
